f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50
1.019557,1.485024,-0.046808,-1.128956,-1.023778,1.141706,1.121765,0.371008,0.829691,0.777583,1.195722,-0.710635,0.361765,1.605568,-0.876766,0.022794,1.112196,0.787703,-0.650831,-1.730999,-0.93063,-1.488568,-0.009381,-1.258744,-1.283058,0.031031,-1.535439,0.165107,0.136552,1.342891,1.08178,0.371936,0.077777,-0.581552,1.599656,0.944472,-0.252483,-0.80848,-0.152037,1.419754,1.612946,-0.284076,-0.818794,1.402927,-0.358499,-0.308305,-0.034532,1.143875,0.282318,0.35918
-0.501628,0.266454,0.451494,0.959432,-1.280892,-1.184151,0.480855,0.872151,0.570566,-1.484946,-0.488369,-1.000415,-0.276468,0.810164,-0.627558,-0.447773,1.547264,-1.722761,-0.625284,-1.164724,-1.480216,0.946222,0.28081,1.437161,-1.410914,1.282627,1.555793,1.510985,-0.666742,-1.672728,-0.818882,-0.180616,-1.608523,1.464535,0.112861,-1.065081,0.246598,1.192738,-0.911643,-0.025446,0.361351,1.152017,-1.173298,-0.405878,0.456082,-1.203964,-0.216431,1.64409,-0.145599,0.173889
0.372038,-0.589916,-0.834979,-1.719323,0.859396,-0.369652,-1.663921,-0.975464,1.481809,1.426784,1.327019,0.727265,0.27577,0.409688,0.75409,1.113869,-1.226676,0.930886,0.567657,1.53794,0.507416,0.605986,-0.914253,-1.614623,1.370419,-0.682192,1.381062,-0.286912,-0.400887,0.914096,-0.388307,0.942902,1.026186,0.180345,1.255505,0.462141,-0.155488,0.2147,0.443189,-0.621832,0.314619,-0.224686,0.829154,-0.624837,0.537531,-0.866,-0.40811,1.49894,1.011516,-0.25368
-0.763082,-1.081604,-0.116157,0.933515,-0.051262,-0.805933,-0.102507,-0.315423,-0.069029,-1.649445,-0.293232,1.144478,1.52263,0.589292,-0.883952,-1.082613,-0.037745,-1.445923,-0.205006,0.795186,1.243954,-0.317529,0.39705,-1.116948,-1.094536,-0.829226,-0.147128,1.377307,1.534466,1.100972,1.421457,0.348839,0.110016,-1.087851,0.190472,-1.100806,0.920879,-1.364435,0.461508,0.614985,1.483285,1.769012,1.63147,0.172535,-0.84043,-0.875914,-1.556997,0.20571,1.492178,1.671167
1.391765,0.879887,0.357054,0.029108,0.244489,0.110079,0.459805,-0.475584,0.323205,-0.186578,-1.416613,-0.343009,0.312293,0.606662,-1.525836,0.42671,-0.838192,0.540787,1.667133,0.160968,-1.071327,-1.024799,-1.587249,-0.352592,-1.499859,-0.076575,1.81963,0.285047,0.485295,-0.360667,0.566582,-0.680769,-0.980725,0.778433,-0.241573,-1.684889,-0.942354,0.156901,1.493988,1.559195,-1.432567,-1.531672,-1.400417,-0.071766,1.114609,-0.804762,0.581418,-1.085257,-0.185255,0.532539
0.603958,0.420133,0.089416,0.455356,-1.788421,0.469434,1.725875,-0.605863,0.680837,-0.090703,1.522017,1.686749,-0.487033,0.778957,-0.4084,0.167128,-0.428233,0.721504,1.517694,1.208992,0.594655,-1.2331,0.431777,-1.086929,-0.04427,1.399982,0.823865,1.589514,0.081495,-1.710104,-0.729888,-0.604747,1.097542,-0.468017,1.447359,0.124611,-1.337622,0.61828,0.232452,-1.305574,1.371578,-1.336314,0.965155,-1.291257,1.404924,-1.263319,1.140883,-1.036406,1.109723,-1.36822
0.450337,1.152635,1.690358,0.873672,-1.137353,-1.13615,-0.239105,0.914266,-0.049997,-1.132826,0.55696,0.130076,-0.240649,1.002363,-1.055746,0.086133,0.686969,-0.710225,0.877408,0.290685,0.56172,-1.336959,1.222999,1.286378,0.002088,-1.534466,1.243655,0.924446,-1.61123,1.3106,-1.397266,-0.056872,1.261037,1.285516,1.029087,0.424301,1.600432,0.598201,1.091548,1.591638,0.298521,1.423126,-0.976384,0.678711,1.330551,1.587264,0.384665,-1.119857,-1.376978,1.682301
0.161808,0.544123,-0.411093,-0.971328,-0.927764,-1.563047,1.275216,1.112207,-0.473439,-1.174874,0.137929,-0.58027,-0.299943,-0.335077,-1.265321,-0.515687,-0.156864,-1.581769,-0.278417,0.750981,0.536256,1.438716,-1.052264,1.476597,-0.262412,1.453525,0.392358,-1.530886,-0.096571,-0.022449,0.3153,-1.503529,0.76917,-0.809759,0.281937,0.845763,0.792127,1.743173,1.744094,-0.073656,1.302566,0.933143,-0.417014,1.570972,0.038616,-1.539724,1.565011,0.420689,-0.078998,-0.477068
-0.397863,0.356799,0.806794,0.52901,0.35061,-0.221211,-1.548725,0.581788,-1.31421,0.978058,0.57172,0.879469,0.671574,1.351348,-0.714892,0.515755,0.721255,-1.472858,-1.208177,1.591948,-0.273662,0.848773,0.892228,0.516297,0.741667,1.456708,1.597498,1.293076,0.620854,1.562266,-0.863503,0.850969,-1.384189,-0.438952,0.490854,0.491268,-0.801819,0.544543,0.535718,0.950477,1.047309,0.428189,-1.520859,-0.185705,-1.381546,-1.175608,-0.060052,-1.750726,0.798507,-1.307562
0.428671,0.502714,0.313195,-0.22379,0.614871,-1.326447,0.255031,-1.06393,-0.321239,0.018874,-0.95369,-1.57204,1.291201,1.142564,-0.458862,1.104352,1.135234,0.287359,0.404155,1.291528,1.44535,1.14744,1.451932,0.305728,-0.687218,0.5382,0.452841,-0.802506,-1.479571,-1.338988,-1.409942,-0.829607,-0.984784,1.194837,0.654587,0.095991,-0.130847,-1.524511,0.604867,1.382271,0.54209,-0.097393,1.737554,-0.441594,-0.778842,0.345796,1.727514,-0.526774,0.455991,-0.400316
